,FECHA,NUM_PERS_IMPLS
0,2010-01-01 00:00:00,3
1,2010-01-01 01:00:00,8
2,2010-01-01 02:00:00,2
3,2010-01-01 03:00:00,0
4,2010-01-01 04:00:00,11
5,2010-01-01 05:00:00,3
6,2010-01-01 06:00:00,0
7,2010-01-01 07:00:00,0
8,2010-01-01 08:00:00,2
9,2010-01-01 09:00:00,6
10,2010-01-01 10:00:00,0
11,2010-01-01 11:00:00,0
12,2010-01-01 12:00:00,0
13,2010-01-01 13:00:00,0
14,2010-01-01 14:00:00,0
15,2010-01-01 15:00:00,0
16,2010-01-01 16:00:00,0
17,2010-01-01 17:00:00,0
18,2010-01-01 18:00:00,0
19,2010-01-01 19:00:00,0
20,2010-01-01 20:00:00,5
21,2010-01-01 21:00:00,12
22,2010-01-01 22:00:00,0
23,2010-01-01 23:00:00,0
24,2010-01-02 00:00:00,0
25,2010-01-02 01:00:00,0
26,2010-01-02 02:00:00,2
27,2010-01-02 03:00:00,0
28,2010-01-02 04:00:00,0
29,2010-01-02 05:00:00,0
30,2010-01-02 06:00:00,4
31,2010-01-02 07:00:00,0
32,2010-01-02 08:00:00,1
33,2010-01-02 09:00:00,2
34,2010-01-02 10:00:00,0
35,2010-01-02 11:00:00,3
36,2010-01-02 12:00:00,4
37,2010-01-02 13:00:00,3
38,2010-01-02 14:00:00,4
39,2010-01-02 15:00:00,1
40,2010-01-02 16:00:00,0
41,2010-01-02 17:00:00,0
42,2010-01-02 18:00:00,10
43,2010-01-02 19:00:00,4
44,2010-01-02 20:00:00,2
45,2010-01-02 21:00:00,0
46,2010-01-02 22:00:00,2
47,2010-01-02 23:00:00,0
48,2010-01-03 00:00:00,0
49,2010-01-03 01:00:00,3
50,2010-01-03 02:00:00,0
51,2010-01-03 03:00:00,0
52,2010-01-03 04:00:00,0
53,2010-01-03 05:00:00,0
54,2010-01-03 06:00:00,0
55,2010-01-03 07:00:00,0
56,2010-01-03 08:00:00,0
57,2010-01-03 09:00:00,0
58,2010-01-03 10:00:00,0
59,2010-01-03 11:00:00,0
60,2010-01-03 12:00:00,0
61,2010-01-03 13:00:00,4
62,2010-01-03 14:00:00,5
63,2010-01-03 15:00:00,3
64,2010-01-03 16:00:00,2
65,2010-01-03 17:00:00,8
66,2010-01-03 18:00:00,4
67,2010-01-03 19:00:00,0
68,2010-01-03 20:00:00,9
69,2010-01-03 21:00:00,3
70,2010-01-03 22:00:00,2
71,2010-01-03 23:00:00,3
72,2010-01-04 00:00:00,0
73,2010-01-04 01:00:00,0
74,2010-01-04 02:00:00,0
75,2010-01-04 03:00:00,0
76,2010-01-04 04:00:00,1
77,2010-01-04 05:00:00,0
78,2010-01-04 06:00:00,2
79,2010-01-04 07:00:00,3
80,2010-01-04 08:00:00,1
81,2010-01-04 09:00:00,5
82,2010-01-04 10:00:00,1
83,2010-01-04 11:00:00,2
84,2010-01-04 12:00:00,8
85,2010-01-04 13:00:00,4
86,2010-01-04 14:00:00,4
87,2010-01-04 15:00:00,3
88,2010-01-04 16:00:00,1
89,2010-01-04 17:00:00,8
90,2010-01-04 18:00:00,3
91,2010-01-04 19:00:00,7
92,2010-01-04 20:00:00,4
93,2010-01-04 21:00:00,7
94,2010-01-04 22:00:00,6
95,2010-01-04 23:00:00,0
96,2010-01-05 00:00:00,0
97,2010-01-05 01:00:00,0
98,2010-01-05 02:00:00,0
99,2010-01-05 03:00:00,0
100,2010-01-05 04:00:00,0
101,2010-01-05 05:00:00,0
102,2010-01-05 06:00:00,0
103,2010-01-05 07:00:00,0
104,2010-01-05 08:00:00,0
105,2010-01-05 09:00:00,1
106,2010-01-05 10:00:00,0
107,2010-01-05 11:00:00,2
108,2010-01-05 12:00:00,8
109,2010-01-05 13:00:00,2
110,2010-01-05 14:00:00,2
111,2010-01-05 15:00:00,0
112,2010-01-05 16:00:00,2
113,2010-01-05 17:00:00,4
114,2010-01-05 18:00:00,6
115,2010-01-05 19:00:00,4
116,2010-01-05 20:00:00,2
117,2010-01-05 21:00:00,6
118,2010-01-05 22:00:00,2
119,2010-01-05 23:00:00,5
120,2010-01-06 00:00:00,0
121,2010-01-06 01:00:00,0
122,2010-01-06 02:00:00,6
123,2010-01-06 03:00:00,0
124,2010-01-06 04:00:00,0
125,2010-01-06 05:00:00,2
126,2010-01-06 06:00:00,0
127,2010-01-06 07:00:00,4
128,2010-01-06 08:00:00,0
129,2010-01-06 09:00:00,0
130,2010-01-06 10:00:00,0
131,2010-01-06 11:00:00,0
132,2010-01-06 12:00:00,5
133,2010-01-06 13:00:00,4
134,2010-01-06 14:00:00,3
135,2010-01-06 15:00:00,0
136,2010-01-06 16:00:00,0
137,2010-01-06 17:00:00,0
138,2010-01-06 18:00:00,3
139,2010-01-06 19:00:00,3
140,2010-01-06 20:00:00,4
141,2010-01-06 21:00:00,0
142,2010-01-06 22:00:00,2
143,2010-01-06 23:00:00,0
144,2010-01-07 00:00:00,1
145,2010-01-07 01:00:00,0
146,2010-01-07 02:00:00,0
147,2010-01-07 03:00:00,0
148,2010-01-07 04:00:00,0
149,2010-01-07 05:00:00,0
150,2010-01-07 06:00:00,0
151,2010-01-07 07:00:00,2
152,2010-01-07 08:00:00,9
153,2010-01-07 09:00:00,0
154,2010-01-07 10:00:00,0
155,2010-01-07 11:00:00,5
156,2010-01-07 12:00:00,2
157,2010-01-07 13:00:00,4
158,2010-01-07 14:00:00,2
159,2010-01-07 15:00:00,0
160,2010-01-07 16:00:00,6
161,2010-01-07 17:00:00,3
162,2010-01-07 18:00:00,13
163,2010-01-07 19:00:00,4
164,2010-01-07 20:00:00,3
165,2010-01-07 21:00:00,5
166,2010-01-07 22:00:00,0
167,2010-01-07 23:00:00,3
168,2010-01-08 00:00:00,5
169,2010-01-08 01:00:00,0
170,2010-01-08 02:00:00,0
171,2010-01-08 03:00:00,0
172,2010-01-08 04:00:00,0
173,2010-01-08 05:00:00,1
174,2010-01-08 06:00:00,2
175,2010-01-08 07:00:00,0
176,2010-01-08 08:00:00,0
177,2010-01-08 09:00:00,0
178,2010-01-08 10:00:00,0
179,2010-01-08 11:00:00,0
180,2010-01-08 12:00:00,0
181,2010-01-08 13:00:00,0
182,2010-01-08 14:00:00,2
183,2010-01-08 15:00:00,2
184,2010-01-08 16:00:00,0
185,2010-01-08 17:00:00,0
186,2010-01-08 18:00:00,4
187,2010-01-08 19:00:00,6
188,2010-01-08 20:00:00,0
189,2010-01-08 21:00:00,5
190,2010-01-08 22:00:00,1
191,2010-01-08 23:00:00,7
192,2010-01-09 00:00:00,0
193,2010-01-09 01:00:00,0
194,2010-01-09 02:00:00,0
195,2010-01-09 03:00:00,0
196,2010-01-09 04:00:00,5
197,2010-01-09 05:00:00,0
198,2010-01-09 06:00:00,0
199,2010-01-09 07:00:00,3
200,2010-01-09 08:00:00,4
201,2010-01-09 09:00:00,0
202,2010-01-09 10:00:00,0
203,2010-01-09 11:00:00,2
204,2010-01-09 12:00:00,2
205,2010-01-09 13:00:00,0
206,2010-01-09 14:00:00,9
207,2010-01-09 15:00:00,3
208,2010-01-09 16:00:00,2
209,2010-01-09 17:00:00,0
210,2010-01-09 18:00:00,2
211,2010-01-09 19:00:00,0
212,2010-01-09 20:00:00,7
213,2010-01-09 21:00:00,16
214,2010-01-09 22:00:00,0
215,2010-01-09 23:00:00,2
216,2010-01-10 00:00:00,5
217,2010-01-10 01:00:00,2
218,2010-01-10 02:00:00,0
219,2010-01-10 03:00:00,0
220,2010-01-10 04:00:00,1
221,2010-01-10 05:00:00,0
222,2010-01-10 06:00:00,3
223,2010-01-10 07:00:00,0
224,2010-01-10 08:00:00,0
225,2010-01-10 09:00:00,3
226,2010-01-10 10:00:00,1
227,2010-01-10 11:00:00,0
228,2010-01-10 12:00:00,0
229,2010-01-10 13:00:00,0
230,2010-01-10 14:00:00,3
231,2010-01-10 15:00:00,6
232,2010-01-10 16:00:00,0
233,2010-01-10 17:00:00,0
234,2010-01-10 18:00:00,0
235,2010-01-10 19:00:00,6
236,2010-01-10 20:00:00,8
237,2010-01-10 21:00:00,30
238,2010-01-10 22:00:00,11
239,2010-01-10 23:00:00,12
240,2010-01-11 00:00:00,0
241,2010-01-11 01:00:00,2
242,2010-01-11 02:00:00,0
243,2010-01-11 03:00:00,0
244,2010-01-11 04:00:00,0
245,2010-01-11 05:00:00,0
246,2010-01-11 06:00:00,0
247,2010-01-11 07:00:00,2
248,2010-01-11 08:00:00,3
249,2010-01-11 09:00:00,2
250,2010-01-11 10:00:00,6
251,2010-01-11 11:00:00,2
252,2010-01-11 12:00:00,6
253,2010-01-11 13:00:00,2
254,2010-01-11 14:00:00,0
255,2010-01-11 15:00:00,0
256,2010-01-11 16:00:00,0
257,2010-01-11 17:00:00,4
258,2010-01-11 18:00:00,0
259,2010-01-11 19:00:00,1
260,2010-01-11 20:00:00,4
261,2010-01-11 21:00:00,0
262,2010-01-11 22:00:00,1
263,2010-01-11 23:00:00,0
264,2010-01-12 00:00:00,0
265,2010-01-12 01:00:00,0
266,2010-01-12 02:00:00,0
267,2010-01-12 03:00:00,0
268,2010-01-12 04:00:00,0
269,2010-01-12 05:00:00,0
270,2010-01-12 06:00:00,0
271,2010-01-12 07:00:00,0
272,2010-01-12 08:00:00,1
273,2010-01-12 09:00:00,3
274,2010-01-12 10:00:00,0
275,2010-01-12 11:00:00,6
276,2010-01-12 12:00:00,0
277,2010-01-12 13:00:00,0
278,2010-01-12 14:00:00,0
279,2010-01-12 15:00:00,0
280,2010-01-12 16:00:00,3
281,2010-01-12 17:00:00,2
282,2010-01-12 18:00:00,0
283,2010-01-12 19:00:00,0
284,2010-01-12 20:00:00,3
285,2010-01-12 21:00:00,0
286,2010-01-12 22:00:00,2
287,2010-01-12 23:00:00,0
288,2010-01-13 00:00:00,0
289,2010-01-13 01:00:00,0
290,2010-01-13 02:00:00,0
291,2010-01-13 03:00:00,3
292,2010-01-13 04:00:00,0
293,2010-01-13 05:00:00,3
294,2010-01-13 06:00:00,1
295,2010-01-13 07:00:00,2
296,2010-01-13 08:00:00,5
297,2010-01-13 09:00:00,2
298,2010-01-13 10:00:00,4
299,2010-01-13 11:00:00,3
300,2010-01-13 12:00:00,0
301,2010-01-13 13:00:00,6
302,2010-01-13 14:00:00,8
303,2010-01-13 15:00:00,0
304,2010-01-13 16:00:00,5
305,2010-01-13 17:00:00,2
306,2010-01-13 18:00:00,3
307,2010-01-13 19:00:00,2
308,2010-01-13 20:00:00,0
309,2010-01-13 21:00:00,7
310,2010-01-13 22:00:00,0
311,2010-01-13 23:00:00,0
312,2010-01-14 00:00:00,8
313,2010-01-14 01:00:00,0
314,2010-01-14 02:00:00,0
315,2010-01-14 03:00:00,0
316,2010-01-14 04:00:00,5
317,2010-01-14 05:00:00,0
318,2010-01-14 06:00:00,0
319,2010-01-14 07:00:00,6
320,2010-01-14 08:00:00,0
321,2010-01-14 09:00:00,5
322,2010-01-14 10:00:00,0
323,2010-01-14 11:00:00,2
324,2010-01-14 12:00:00,14
325,2010-01-14 13:00:00,0
326,2010-01-14 14:00:00,5
327,2010-01-14 15:00:00,6
328,2010-01-14 16:00:00,0
329,2010-01-14 17:00:00,2
330,2010-01-14 18:00:00,3
331,2010-01-14 19:00:00,0
332,2010-01-14 20:00:00,6
333,2010-01-14 21:00:00,5
334,2010-01-14 22:00:00,0
335,2010-01-14 23:00:00,0
336,2010-01-15 00:00:00,0
337,2010-01-15 01:00:00,0
338,2010-01-15 02:00:00,0
339,2010-01-15 03:00:00,0
340,2010-01-15 04:00:00,0
341,2010-01-15 05:00:00,5
342,2010-01-15 06:00:00,0
343,2010-01-15 07:00:00,3
344,2010-01-15 08:00:00,4
345,2010-01-15 09:00:00,5
346,2010-01-15 10:00:00,0
347,2010-01-15 11:00:00,0
348,2010-01-15 12:00:00,10
349,2010-01-15 13:00:00,9
350,2010-01-15 14:00:00,5
351,2010-01-15 15:00:00,5
352,2010-01-15 16:00:00,3
353,2010-01-15 17:00:00,8
354,2010-01-15 18:00:00,0
355,2010-01-15 19:00:00,15
356,2010-01-15 20:00:00,0
357,2010-01-15 21:00:00,0
358,2010-01-15 22:00:00,0
359,2010-01-15 23:00:00,0
360,2010-01-16 00:00:00,0
361,2010-01-16 01:00:00,16
362,2010-01-16 02:00:00,3
363,2010-01-16 03:00:00,0
364,2010-01-16 04:00:00,0
365,2010-01-16 05:00:00,0
366,2010-01-16 06:00:00,0
367,2010-01-16 07:00:00,2
368,2010-01-16 08:00:00,0
369,2010-01-16 09:00:00,0
370,2010-01-16 10:00:00,1
371,2010-01-16 11:00:00,0
372,2010-01-16 12:00:00,0
373,2010-01-16 13:00:00,0
374,2010-01-16 14:00:00,0
375,2010-01-16 15:00:00,8
376,2010-01-16 16:00:00,0
377,2010-01-16 17:00:00,0
378,2010-01-16 18:00:00,0
379,2010-01-16 19:00:00,0
380,2010-01-16 20:00:00,0
381,2010-01-16 21:00:00,5
382,2010-01-16 22:00:00,7
383,2010-01-16 23:00:00,3
384,2010-01-17 00:00:00,0
385,2010-01-17 01:00:00,5
386,2010-01-17 02:00:00,3
387,2010-01-17 03:00:00,0
388,2010-01-17 04:00:00,6
389,2010-01-17 05:00:00,0
390,2010-01-17 06:00:00,1
391,2010-01-17 07:00:00,5
392,2010-01-17 08:00:00,0
393,2010-01-17 09:00:00,1
394,2010-01-17 10:00:00,0
395,2010-01-17 11:00:00,0
396,2010-01-17 12:00:00,0
397,2010-01-17 13:00:00,0
398,2010-01-17 14:00:00,2
399,2010-01-17 15:00:00,2
400,2010-01-17 16:00:00,2
401,2010-01-17 17:00:00,5
402,2010-01-17 18:00:00,6
403,2010-01-17 19:00:00,0
404,2010-01-17 20:00:00,0
405,2010-01-17 21:00:00,0
406,2010-01-17 22:00:00,6
407,2010-01-17 23:00:00,0
408,2010-01-18 00:00:00,7
409,2010-01-18 01:00:00,0
410,2010-01-18 02:00:00,0
411,2010-01-18 03:00:00,0
412,2010-01-18 04:00:00,0
413,2010-01-18 05:00:00,0
414,2010-01-18 06:00:00,0
415,2010-01-18 07:00:00,2
416,2010-01-18 08:00:00,5
417,2010-01-18 09:00:00,5
418,2010-01-18 10:00:00,2
419,2010-01-18 11:00:00,7
420,2010-01-18 12:00:00,0
421,2010-01-18 13:00:00,5
422,2010-01-18 14:00:00,3
423,2010-01-18 15:00:00,9
424,2010-01-18 16:00:00,7
425,2010-01-18 17:00:00,0
426,2010-01-18 18:00:00,2
427,2010-01-18 19:00:00,17
428,2010-01-18 20:00:00,3
429,2010-01-18 21:00:00,0
430,2010-01-18 22:00:00,0
431,2010-01-18 23:00:00,0
432,2010-01-19 00:00:00,0
433,2010-01-19 01:00:00,1
434,2010-01-19 02:00:00,0
435,2010-01-19 03:00:00,0
436,2010-01-19 04:00:00,0
437,2010-01-19 05:00:00,0
438,2010-01-19 06:00:00,0
439,2010-01-19 07:00:00,0
440,2010-01-19 08:00:00,2
441,2010-01-19 09:00:00,16
442,2010-01-19 10:00:00,0
443,2010-01-19 11:00:00,2
444,2010-01-19 12:00:00,7
445,2010-01-19 13:00:00,5
446,2010-01-19 14:00:00,6
447,2010-01-19 15:00:00,2
448,2010-01-19 16:00:00,4
449,2010-01-19 17:00:00,1
450,2010-01-19 18:00:00,7
451,2010-01-19 19:00:00,11
452,2010-01-19 20:00:00,2
453,2010-01-19 21:00:00,3
454,2010-01-19 22:00:00,7
455,2010-01-19 23:00:00,2
456,2010-01-20 00:00:00,0
457,2010-01-20 01:00:00,0
458,2010-01-20 02:00:00,0
459,2010-01-20 03:00:00,0
460,2010-01-20 04:00:00,0
461,2010-01-20 05:00:00,7
462,2010-01-20 06:00:00,5
463,2010-01-20 07:00:00,0
464,2010-01-20 08:00:00,15
465,2010-01-20 09:00:00,8
466,2010-01-20 10:00:00,2
467,2010-01-20 11:00:00,8
468,2010-01-20 12:00:00,7
469,2010-01-20 13:00:00,6
470,2010-01-20 14:00:00,5
471,2010-01-20 15:00:00,8
472,2010-01-20 16:00:00,11
473,2010-01-20 17:00:00,7
474,2010-01-20 18:00:00,9
475,2010-01-20 19:00:00,5
476,2010-01-20 20:00:00,1
477,2010-01-20 21:00:00,0
478,2010-01-20 22:00:00,2
479,2010-01-20 23:00:00,4
480,2010-01-21 00:00:00,0
481,2010-01-21 01:00:00,3
482,2010-01-21 02:00:00,0
483,2010-01-21 03:00:00,0
484,2010-01-21 04:00:00,0
485,2010-01-21 05:00:00,0
486,2010-01-21 06:00:00,2
487,2010-01-21 07:00:00,0
488,2010-01-21 08:00:00,0
489,2010-01-21 09:00:00,3
490,2010-01-21 10:00:00,2
491,2010-01-21 11:00:00,9
492,2010-01-21 12:00:00,2
493,2010-01-21 13:00:00,6
494,2010-01-21 14:00:00,10
495,2010-01-21 15:00:00,3
496,2010-01-21 16:00:00,0
497,2010-01-21 17:00:00,0
498,2010-01-21 18:00:00,3
499,2010-01-21 19:00:00,0
500,2010-01-21 20:00:00,6
501,2010-01-21 21:00:00,6
502,2010-01-21 22:00:00,5
503,2010-01-21 23:00:00,0
504,2010-01-22 00:00:00,0
505,2010-01-22 01:00:00,4
506,2010-01-22 02:00:00,0
507,2010-01-22 03:00:00,0
508,2010-01-22 04:00:00,0
509,2010-01-22 05:00:00,0
510,2010-01-22 06:00:00,5
511,2010-01-22 07:00:00,0
512,2010-01-22 08:00:00,2
513,2010-01-22 09:00:00,3
514,2010-01-22 10:00:00,2
515,2010-01-22 11:00:00,7
516,2010-01-22 12:00:00,0
517,2010-01-22 13:00:00,0
518,2010-01-22 14:00:00,6
519,2010-01-22 15:00:00,3
520,2010-01-22 16:00:00,2
521,2010-01-22 17:00:00,8
522,2010-01-22 18:00:00,4
523,2010-01-22 19:00:00,5
524,2010-01-22 20:00:00,10
525,2010-01-22 21:00:00,3
526,2010-01-22 22:00:00,5
527,2010-01-22 23:00:00,9
528,2010-01-23 00:00:00,0
529,2010-01-23 01:00:00,0
530,2010-01-23 02:00:00,2
531,2010-01-23 03:00:00,0
532,2010-01-23 04:00:00,2
533,2010-01-23 05:00:00,4
534,2010-01-23 06:00:00,0
535,2010-01-23 07:00:00,10
536,2010-01-23 08:00:00,0
537,2010-01-23 09:00:00,2
538,2010-01-23 10:00:00,3
539,2010-01-23 11:00:00,3
540,2010-01-23 12:00:00,6
541,2010-01-23 13:00:00,2
542,2010-01-23 14:00:00,2
543,2010-01-23 15:00:00,0
544,2010-01-23 16:00:00,4
545,2010-01-23 17:00:00,0
546,2010-01-23 18:00:00,4
547,2010-01-23 19:00:00,0
548,2010-01-23 20:00:00,0
549,2010-01-23 21:00:00,0
550,2010-01-23 22:00:00,0
551,2010-01-23 23:00:00,0
552,2010-01-24 00:00:00,0
553,2010-01-24 01:00:00,0
554,2010-01-24 02:00:00,5
555,2010-01-24 03:00:00,0
556,2010-01-24 04:00:00,2
557,2010-01-24 05:00:00,2
558,2010-01-24 06:00:00,0
559,2010-01-24 07:00:00,0
560,2010-01-24 08:00:00,0
561,2010-01-24 09:00:00,0
562,2010-01-24 10:00:00,0
563,2010-01-24 11:00:00,0
564,2010-01-24 12:00:00,2
565,2010-01-24 13:00:00,11
566,2010-01-24 14:00:00,4
567,2010-01-24 15:00:00,0
568,2010-01-24 16:00:00,0
569,2010-01-24 17:00:00,3
570,2010-01-24 18:00:00,0
571,2010-01-24 19:00:00,9
572,2010-01-24 20:00:00,0
573,2010-01-24 21:00:00,2
574,2010-01-24 22:00:00,0
575,2010-01-24 23:00:00,4
576,2010-01-25 00:00:00,0
577,2010-01-25 01:00:00,0
578,2010-01-25 02:00:00,0
579,2010-01-25 03:00:00,0
580,2010-01-25 04:00:00,0
581,2010-01-25 05:00:00,0
582,2010-01-25 06:00:00,0
583,2010-01-25 07:00:00,0
584,2010-01-25 08:00:00,6
585,2010-01-25 09:00:00,10
586,2010-01-25 10:00:00,2
587,2010-01-25 11:00:00,3
588,2010-01-25 12:00:00,11
589,2010-01-25 13:00:00,3
590,2010-01-25 14:00:00,0
591,2010-01-25 15:00:00,0
592,2010-01-25 16:00:00,4
593,2010-01-25 17:00:00,1
594,2010-01-25 18:00:00,6
595,2010-01-25 19:00:00,7
596,2010-01-25 20:00:00,6
597,2010-01-25 21:00:00,5
598,2010-01-25 22:00:00,0
599,2010-01-25 23:00:00,0
600,2010-01-26 00:00:00,0
601,2010-01-26 01:00:00,3
602,2010-01-26 02:00:00,1
603,2010-01-26 03:00:00,0
604,2010-01-26 04:00:00,0
605,2010-01-26 05:00:00,0
606,2010-01-26 06:00:00,0
607,2010-01-26 07:00:00,6
608,2010-01-26 08:00:00,1
609,2010-01-26 09:00:00,4
610,2010-01-26 10:00:00,2
611,2010-01-26 11:00:00,2
612,2010-01-26 12:00:00,0
613,2010-01-26 13:00:00,4
614,2010-01-26 14:00:00,11
615,2010-01-26 15:00:00,11
616,2010-01-26 16:00:00,0
617,2010-01-26 17:00:00,4
618,2010-01-26 18:00:00,8
619,2010-01-26 19:00:00,5
620,2010-01-26 20:00:00,0
621,2010-01-26 21:00:00,2
622,2010-01-26 22:00:00,0
623,2010-01-26 23:00:00,0
624,2010-01-27 00:00:00,2
625,2010-01-27 01:00:00,3
626,2010-01-27 02:00:00,0
627,2010-01-27 03:00:00,0
628,2010-01-27 04:00:00,0
629,2010-01-27 05:00:00,0
630,2010-01-27 06:00:00,0
631,2010-01-27 07:00:00,0
632,2010-01-27 08:00:00,0
633,2010-01-27 09:00:00,0
634,2010-01-27 10:00:00,4
635,2010-01-27 11:00:00,8
636,2010-01-27 12:00:00,3
637,2010-01-27 13:00:00,0
638,2010-01-27 14:00:00,7
639,2010-01-27 15:00:00,10
640,2010-01-27 16:00:00,3
641,2010-01-27 17:00:00,4
642,2010-01-27 18:00:00,3
643,2010-01-27 19:00:00,0
644,2010-01-27 20:00:00,8
645,2010-01-27 21:00:00,2
646,2010-01-27 22:00:00,2
647,2010-01-27 23:00:00,2
648,2010-01-28 00:00:00,0
649,2010-01-28 01:00:00,0
650,2010-01-28 02:00:00,0
651,2010-01-28 03:00:00,4
652,2010-01-28 04:00:00,0
653,2010-01-28 05:00:00,0
654,2010-01-28 06:00:00,2
655,2010-01-28 07:00:00,3
656,2010-01-28 08:00:00,0
657,2010-01-28 09:00:00,3
658,2010-01-28 10:00:00,3
659,2010-01-28 11:00:00,2
660,2010-01-28 12:00:00,5
661,2010-01-28 13:00:00,4
662,2010-01-28 14:00:00,4
663,2010-01-28 15:00:00,2
664,2010-01-28 16:00:00,0
665,2010-01-28 17:00:00,2
666,2010-01-28 18:00:00,0
667,2010-01-28 19:00:00,3
668,2010-01-28 20:00:00,8
669,2010-01-28 21:00:00,5
670,2010-01-28 22:00:00,0
671,2010-01-28 23:00:00,6
672,2010-01-29 00:00:00,0
673,2010-01-29 01:00:00,4
674,2010-01-29 02:00:00,0
675,2010-01-29 03:00:00,3
676,2010-01-29 04:00:00,7
677,2010-01-29 05:00:00,0
678,2010-01-29 06:00:00,4
679,2010-01-29 07:00:00,2
680,2010-01-29 08:00:00,0
681,2010-01-29 09:00:00,9
682,2010-01-29 10:00:00,0
683,2010-01-29 11:00:00,2
684,2010-01-29 12:00:00,2
685,2010-01-29 13:00:00,11
686,2010-01-29 14:00:00,2
687,2010-01-29 15:00:00,0
688,2010-01-29 16:00:00,10
689,2010-01-29 17:00:00,9
690,2010-01-29 18:00:00,3
691,2010-01-29 19:00:00,0
692,2010-01-29 20:00:00,6
693,2010-01-29 21:00:00,14
694,2010-01-29 22:00:00,2
695,2010-01-29 23:00:00,0
696,2010-01-30 00:00:00,0
697,2010-01-30 01:00:00,0
698,2010-01-30 02:00:00,0
699,2010-01-30 03:00:00,4
700,2010-01-30 04:00:00,1
701,2010-01-30 05:00:00,0
702,2010-01-30 06:00:00,3
703,2010-01-30 07:00:00,0
704,2010-01-30 08:00:00,0
705,2010-01-30 09:00:00,0
706,2010-01-30 10:00:00,9
707,2010-01-30 11:00:00,5
708,2010-01-30 12:00:00,3
709,2010-01-30 13:00:00,9
710,2010-01-30 14:00:00,2
711,2010-01-30 15:00:00,4
712,2010-01-30 16:00:00,11
713,2010-01-30 17:00:00,0
714,2010-01-30 18:00:00,3
715,2010-01-30 19:00:00,0
716,2010-01-30 20:00:00,5
717,2010-01-30 21:00:00,14
718,2010-01-30 22:00:00,2
719,2010-01-30 23:00:00,5
720,2010-01-31 00:00:00,2
721,2010-01-31 01:00:00,0
722,2010-01-31 02:00:00,3
723,2010-01-31 03:00:00,0
724,2010-01-31 04:00:00,0
725,2010-01-31 05:00:00,0
726,2010-01-31 06:00:00,0
727,2010-01-31 07:00:00,2
728,2010-01-31 08:00:00,0
729,2010-01-31 09:00:00,0
730,2010-01-31 10:00:00,3
731,2010-01-31 11:00:00,0
732,2010-01-31 12:00:00,0
733,2010-01-31 13:00:00,0
734,2010-01-31 14:00:00,0
735,2010-01-31 15:00:00,7
736,2010-01-31 16:00:00,3
737,2010-01-31 17:00:00,2
738,2010-01-31 18:00:00,0
739,2010-01-31 19:00:00,4
740,2010-01-31 20:00:00,0
741,2010-01-31 21:00:00,0
742,2010-01-31 22:00:00,0
743,2010-01-31 23:00:00,0
